"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ARCO","Arcos Dorados Holdings Inc.","4.85","1021113645.6","n/a","Argentina","2011","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arco",
"BBD","Banco Bradesco Sa","7.91","4826569124.3","n/a","Brazil","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","8.3","50645415598.3","n/a","Brazil","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbdo",
"BSBR","Banco Santander Brasil SA","5.68","43503017760","n/a","Brazil","2009","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsbr",
"BFR","BBVA Banco Frances S.A.","20.82","3725932272.06","n/a","Argentina","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bfr",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","3.69","214856154","n/a","Brazil","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","11.98","4775618835.52","n/a","Brazil","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bak",
"BRFS","BRF S.A.","14.57","11837735194.22","n/a","Brazil","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/brfs",
"CIG","Comp En De Mn Cemig ADS","2.21","2780854047.79","n/a","Brazil","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cig",
"CIG.C","Comp En De Mn Cemig ADS","n/a","0","n/a","Brazil","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cig.c",
"CBD","Companhia Brasileira de Distribuicao","14.66","3895337480.2","n/a","Brazil","1997","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/cbd",
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","8.96","6124248426.24","n/a","Brazil","2002","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/sbs",
"ELP","Companhia Paranaense de Energia (COPEL)","9.06","2479317697.5","n/a","Brazil","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elp",
"CZZ","Cosan Limited","6.76","1789310369.08","n/a","Brazil","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/czz",
"CPL","CPFL Energia S.A.","12.8","6845467635.2","n/a","Brazil","2004","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cpl",
"CRESY","Cresud S.A.C.I.F. y A.","14.62","723690000","n/a","Argentina","1997","Finance","Real Estate","http://www.nasdaq.com/symbol/cresy",
"ERJ","Embraer-Empresa Brasileira de Aeronautica","21.76","4009015093.76","n/a","Brazil","2000","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/erj",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","17.8","806745039","n/a","Argentina","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/edn",
"FBR","Fibria Celulose S.A.","7.18","3977250758.28","n/a","Brazil","1997","Basic Industries","Paper","http://www.nasdaq.com/symbol/fbr",
"GFA","Gafisa SA","1.23","224555565","n/a","Brazil","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/gfa",
"GGAC","Garnero Group Acquisition Company","9.85","183237708.05","n/a","Brazil","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggac",
"GGACR","Garnero Group Acquisition Company","0.09","0","n/a","Brazil","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggacr",
"GGACU","Garnero Group Acquisition Company","9.12","119143680","n/a","Brazil","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggacu",
"GGACW","Garnero Group Acquisition Company","0.0401","0","n/a","Brazil","2014","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ggacw",
"GGB","Gerdau S.A.","1.9","3206122684.8","n/a","Brazil","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/ggb",
"GOL","Gol Linhas Aereas Inteligentes S.A.","10.59","5545904612.82","n/a","Brazil","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/gol",
